spot_id,name_local,name_ko,translation_status,description,areas,categories,source_url,disposition,classification,reason
27182,天拝山（てんぱいさん）,,official_korean_unavailable,菅原道真公が自らの身の潔白を京へ訴える為、100日間山頂に登ったとされる標高258mの山です。 天拝山頂へは武蔵寺手前からゆっくり九州自然歩道を登るコースと、シャクナゲ谷のシャクナゲを眺めながら登るコースと、御自作天満宮横から、道しるべとして設置してある歌碑を読みながら天神様の径を登るコースがあり、気軽に登れる山です。 また山頂には展望台があり、太宰府、福岡空港、博多湾など福岡まで一望できます。,福岡市近郊,自然・景観|レジャー・アウトドア,https://yokanavi.com/spots/27182,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
26988,太宰府天満宮,다자이후텐만구 신사,official_korean,"学問の神様「菅原道真公」を祀っており、受験合格や学業成就などを祈願する参拝者で、年中にぎわっている。 「飛梅伝説」でも知られるように、境内には200種類 約6,000本もの梅の木があり、2月上旬から3月中旬に境内を艶やかに彩る。 梅にちなんだ焼餅「梅ヶ枝餅」は有名な甘味として知られており、参道を歩くと、数多くの店がにぎやかに建ち並ぶ。なかでも、天神様にご縁ある鳥「うそ」の人形を、紫蘇入り...",福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/26988,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
26974,太宰府市文化ふれあい館,,official_korean_unavailable,太宰府天満宮や水城跡など、太宰府の歴史スポットを結ぶ「歴史の散歩道」。その散歩道の中核を担う施設がこちら。太宰府の歴史と文化をテーマにした展覧会や特別展、企画展などが行われている。,福岡市近郊,文化・芸術,https://yokanavi.com/spots/26974,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27185,奴国の丘歴史公園,,official_korean_unavailable,日本で初めて小銅鐸の鋳型が出た国指定史跡・岡本遺跡を中心に整備した公園。現在、池や樹木に囲まれた奴国の森と、カメ棺墓や弥生時代中期の遺構を修復・復元した遺跡の丘が完成している。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27185,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27188,奴国の丘歴史資料館,,official_korean_unavailable,春日市には須玖遺跡群という今から1800～2000年ほど前の弥生時代に隆盛をきわめた遺跡があります。この遺跡は金印を授かった奴国の王都で、出土したすばらしい品々の多くは、奴国の丘歴史資料館に保管され、一部展示されています。歴史資料館でレンタサイクルを借りて、弥生時代の遺跡や、古墳などを巡って古代のロマンにひたってみてはいかがでしょうか？,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27188,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
26989,宇美八幡宮（うみはちまんぐう）,,official_korean_unavailable,宇美八幡宮は、神宮皇后が応神天皇を出産したといわれる地で、敏達天皇の時代（572年～586年）に創建されたといわれています。境内には、助産師の始祖が祭られている「湯方社」、応神天皇の産湯に使ったとされる「産湯の水」、神宮皇后が出産された際につかまったとされる「子安の木」など安産に関する言い伝えが数多く残っており、多くの方が安産祈願に訪れています。また、これらの安産信仰にまつわる言い伝えは、「...,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/26989,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27206,宇美町立歴史民俗資料館,,official_korean_unavailable,町内で発掘された貴重な文化財や出土品を展示公開し、郷土の歴史、文化財に対する理解を深めるための施設。民俗展示室、町民ギャラリーがある資料館として広く県下で知られています。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27206,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27309,宗像・沖ノ島と関連遺産群,,official_korean_unavailable,平成21年1月にユネスコの世界遺産暫定リストに記載された本資産は、4世紀後半から9世紀末にかけて、航海の安全と対外交渉の成就を願って国家的祭祀が行われた「沖ノ島」、その信仰と祭祀が宗像三女神を祀る島伝いの壮大な三宮へと発展を遂げた「宗像大社」、沖ノ島祭祀を奉斎した宗像氏を中心とする海の民の墓域である「津屋崎古墳群（新原・奴山古墳群）」で構成されています。 日本における古代祭祀の変遷過程を示す...,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27309,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27257,宗像大社 中津宮（むなかたたいしゃ なかつのみや）,,official_korean_unavailable,宗像大社田島にある辺津宮、大島の中津宮、大島の北西にある沖ノ島の沖津宮、この３宮の総称を宗像大社という。毎年１０月１日には「みあれ祭」が行われる。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27257,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27258,宗像大社 神宝館（むなかたたいしゃ しんぽうかん）,,official_korean_unavailable,日本の古代史をひもとく上での貴重な資料が数多く収蔵されている宗像大社神宝館。 沖ノ島祭祀神宝・宗像大社文書・一 筆一切経など、所蔵品のほとんどは国宝・重要文化財（約12万点）に指定されています。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27258,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27252,宗像大社（むなかたたいしゃ）,,official_korean_unavailable,田島の辺津宮、大島の中津宮、海の正倉院沖ノ島の沖津宮の三宮を総称して宗像大社という。 全国6000余りの宗像大社の総社で、古来から海陸交通 の守り神として信仰されてきた。 沖ノ島で発掘された8万点の国宝は、大社が所有し、境内の中にある神宝館に展示されている。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27252,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27246,宗生寺（そうしょうじ）,,official_korean_unavailable,禅宗（曹洞宗）の名刹。桃山時代の武将で筑前の領主・小早川隆景の墓所やツツジの庭園で知られている。 境内に安置されている馬頭観音は奈良時代の僧行基の作とされる秘仏で、33年に2回開帳される。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27246,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27267,宮地嶽神社（みやじだけじんじゃ）,,official_korean_unavailable,"開運・災難除けの神として知られ、参拝者が福岡県内で2番目に多い神社。 年間330万人もの人が訪れる。拝殿前には長さ11m、重さ3ｔの大注連がかかり、毎年12月に架け替えられる。 他にも、日本一の大鈴、大太鼓、日本最大級の横穴式石室古墳でもある奥の院不動神社もある。 門前町には、名物の松ヶ枝餅があり、海まで続く参道の先に夕日が沈む2月と10月にはカメラマンが押し掛ける。 2,000本の桜や江戸...",福岡市近郊,歴史・神社・仏閣|自然・景観,https://yokanavi.com/spots/27267,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
62309,小山田斎宮（おやまだいきつのみや）,,official_korean_unavailable,日本書紀によると小山田の斎宮は神功皇后の斎宮とかかれ、西暦200年、神功皇后が政務を執られたといわれる聖母屋敷の一角に立てられたとされています。社叢（しゃそう）にはブナ科スダジイとイチイガシなどが群生しており、県の天然記念物に指定されています。イチイガシの大きなものは樹齢千年以上を経ていて、胸高周囲約4メートル、高さ30メートルもあります。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/62309,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27198,小野公園（おのこうえん）,,official_korean_unavailable,犬鳴山系のふもとに位 置する緑あふれる公園。山登りの拠点になっている。野球グラウンドだけでなく多目的広場や遊具のある児童公園も備えており、市民の安らぎの場になっている。,福岡市近郊,スポーツ|ファミリー,https://yokanavi.com/spots/27198,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27220,岩崎神社,,official_korean_unavailable,毎年9月の第1日曜日に行われる伝統行事、石投げ相撲が有名。江戸末期、当時流行していた悪疫退散の万年願をかけて、村の若者が水車橋付近に集まって相撲を取ったのが始まりと言われています。今では子ども相撲なども行われています。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27220,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27227,左谷山建正寺（さたにやまけんしょうじ）,,official_korean_unavailable,平安時代に開かれた天台宗系の寺院で、伝教大師最澄が創建したと伝えられている。 本尊の十一面観音像は平安後期の作で、県の指定文化財。毎年４月の第１日曜日は十一面観音の開帳日でたくさんの参拝客でにぎわう。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27227,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27240,平塚古墳（ひらつかこふん）,,official_korean_unavailable,以前は直径18ｍほどの古墳であったとみられ、巨大な箱式石棺が発見された。棺の底からは管玉 17個が発見され、この管玉の特徴が古墳時代のものより弥生時代のものに近かったため原始古墳ではないかと推定されている。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27240,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27217,平成の森公園,,official_korean_unavailable,自然の中で町民が憩い、青少年が自然に親しむことができる場です。キャンプ場を中心に森林浴が楽しめます。遊歩道、120ｍに及ぶローラースライダー、滝から落ちる渓流に蛍が飛び交う水辺など趣向を凝らしています。,福岡市近郊,レジャー・アウトドア|ファミリー,https://yokanavi.com/spots/27217,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27180,御前湯,,official_korean_unavailable,万葉の昔から知られる二日市温泉の中心に位 置する施設。入浴施設、談話室、会議室、娯楽室、子供室などを備えている。各種の福祉活動や市民のコミュニケーションの場として建設され、一般の利用者も多い。,福岡市近郊,その他,https://yokanavi.com/spots/27180,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27255,御嶽山展望台（みたけさんてんぼうだい）,,official_korean_unavailable,大島の最高峰、標高２２４ｍの御嶽山山頂にあり、３６０度の大パノラマが広がる。眼下に大島漁港や沖ノ島、壱岐といった玄界灘の島々、遠く英彦山、脊振などの山々。晴れた日には山口県方面 まで見渡すことができる。,福岡市近郊,自然・景観|レジャー・アウトドア,https://yokanavi.com/spots/27255,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27219,志免町歴史資料室,,official_korean_unavailable,志免町民センター（生涯学習2号館）にある歴史資料室。七夕池古墳の出土品を中心に、町内で出土した土器や鉄器類を展示しています。また昭和30年代まで石炭産業で栄えた志免町の歴史を物語る炭鉱関係の道具なども展示されています。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27219,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27218,志免総合公園,,official_korean_unavailable,緑の中のふれあいの場として整備され、遊歩道、展望台、チビッコ広場、芝生広場などもあり、家族そろって楽しめる総合公園です。,福岡市近郊,ファミリー,https://yokanavi.com/spots/27218,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27216,志免鉄道記念公園,,official_korean_unavailable,昭和60年に廃止された旧国鉄勝田線跡を全国でも珍しい緑道として再生しました。その中心地点の志免駅跡を鉄道記念公園として整備されています。町民の憩いの場であるとともに歴史の流れをしのぶ地として親しまれています。,福岡市近郊,ファミリー,https://yokanavi.com/spots/27216,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27239,志賀神社のクスの連理木（しかじんじゃのくすのれんりぎ）,,official_korean_unavailable,志賀神社境内にあり、拝殿の左前方に大枝を広げているクスの木。2本のクスの幹とナノミの幹が合体しためずらしい巨木で、根回り9.2ｍ、樹高22.6ｍ、樹齢は約600年といわれている。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27239,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
62677,快生館（かいせいかん）,,official_korean_unavailable,平成15年に新規掘削された、地下1000メートルより湧出する天然温泉が自慢。お肌ツルツル・すべすべの美肌の湯です。ゆったりと手足を伸ばしてくつろぐ大浴場は、疲れた体をゆっくりほぐしてくれます。別棟にある「家族の湯 山の音（おと）」は全4室の貸切風呂で、循環装置を使わずに利用ごとに湯を入れ替えるため、衛生的にも安心です。,福岡市近郊,その他,https://yokanavi.com/spots/62677,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27301,新原・奴山古墳群（しんばる・ぬやまこふんぐん）,,official_korean_unavailable,日本の世界遺産国内推薦となった国道４９５号線を挟んだ５～６世紀の古墳群。 宗像君（むなかたのきみ）一族の墓と考えられ、学術的にも重要なもの。 前方後円墳５基を含む４１基が畑の中に分布しており、比較的見学しやすい。 調査された古墳からは、鉄のよろいや鉄を作る道具、飾りがつけられた土器などの史料が出土した。,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27301,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27211,新吉野公園（しんよしのこうえん）,,official_korean_unavailable,八木山越えの七曲がりの谷周辺に位置する公園です。春はサクラ（1000本）、秋は紅葉（カエデ350本）などと美しい姿で楽しませてくれます。,福岡市近郊,自然・景観,https://yokanavi.com/spots/27211,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27300,新宮海岸（新宮海水浴場）（しんぐうかいがん（しんぐうかいすいよくじょう））,,official_korean_unavailable,ゆるやかな弓なりのカーブを描く海岸は、通称「パラソルのふち」とも言われ、夏は海水浴でにぎわい、１年を通して散策コースとしても人気があります。,福岡市近郊,レジャー・アウトドア|ファミリー,https://yokanavi.com/spots/27300,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27187,日の出ふれあい公園,,official_korean_unavailable,須玖岡本遺跡より出土した銅鏡と勾玉 をモチーフにしたモニュメント、ユニークな噴水、春日市出身の彫刻家大村清隆氏の代表作品を飾る彫刻の杜、子供から大人まで楽しみながら遊べる多目的広場などを設置している。,福岡市近郊,ファミリー,https://yokanavi.com/spots/27187,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27308,旧伊藤伝右衛門邸（きゅういとうでんえもんてい）,,official_korean_unavailable,博多駅から電車で約40分でアクセスできる飯塚市。ここに、平成26年度に放映された連続テレビ小説「花子とアン」で話題となった「旧伊藤伝右衛門邸」があります。 主人公村岡花子の腹心の友である葉山蓮子（実在の歌人・柳原白蓮がモデル）が嫁いだのが、嘉納伝助のもと。嘉納伝助のモデルとなったのが、実在の福岡・筑豊の炭鉱王「伊藤伝右衛門」なのです。この「旧伊藤伝右衛門邸」は、白蓮が伝右衛門に嫁いでから、...,福岡市近郊,歴史・神社・仏閣,https://yokanavi.com/spots/27308,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27222,旧志免鉱業所竪坑櫓（きゅうしめこうぎょうしょたてこうやぐら）,,official_korean_unavailable,旧志免鉱業所竪坑櫓は、かつて炭鉱として志免町が栄えてきた証であり、炭鉱閉山後、現在に至るまで志免町のランドマークとなっています。この竪坑櫓は近代の鉄筋コンクリート構造物の中で、わが国有数の高さを誇り、建設技術史上価値が高いことから、平成21年12月8日に国の重要文化財（建造物）に指定されました。鉄筋コンクリート製、47.6ｍの高さがあり、昭和18年に第四海軍燃料廠により建造されました。,福岡市近郊,歴史・神社・仏閣|建築物,https://yokanavi.com/spots/27222,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
27183,春日公園,,official_korean_unavailable,市の東部にある県営のスポーツ公園。サッカーやラグビーの球技場、野球場、テニスコートなどがあり、各種大会が行われている。また芝生広場や日本庭園も整備され、家族連れを中心に市民の憩いの場となっている。,福岡市近郊,スポーツ|ファミリー,https://yokanavi.com/spots/27183,excluded,outside_fukuoka_city,all listed areas are outside Fukuoka City: 福岡市近郊
