団体コード,団体名,自治体サイトのオープンデータページURL,オープンデータ掲載サイトのURL1,オープンデータ掲載サイトのURL1の名称,オープンデータ掲載サイトのURL1の概要,オープンデータ掲載サイトのURL2,オープンデータ掲載サイトのURL2の名称,オープンデータ掲載サイトのURL2の概要,オープンデータ掲載サイトのURL3,オープンデータ掲載サイトのURL3の名称,オープンデータ掲載サイトのURL3の概要,初回登録日,更新日,主な分類,API有無,ライセンス
012211,北海道名寄市,,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=41,（名寄市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
012220,北海道三笠市,https://www.city.mikasa.hokkaido.jp/hotnews/detail/00010454.html,https://ckan.hoda.jp/organization/mikasa,,,https://www.city.mikasa.hokkaido.jp/hotnews/detail/00010454.html,三笠市オープンデータ（北海道オープンデータプラットフォーム）,北海道の各自治体のオープンデータを集約しているサイト,,,,2021/4/7,,人口・世帯、情報通信、救急・消防,無,CC-BY
012238,北海道根室市,https://www.city.nemuro.hokkaido.jp/lifeinfo/kakuka/soumubu/jyouhou/4/8913.html,https://www.city.nemuro.hokkaido.jp/lifeinfo/kakuka/soumubu/jyouhou/4/8913.html,根室市オープンデータ（北海道オープンデータポータル）,北海道電子自治体共同運営協議会に参加している、北海道と道内の市町村（一部を除く）のデータの利活用環境の整備を目的としたポータルサイトです。,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=242,（根室市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,2021/1/21,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
012246,北海道千歳市,http://www.city.chitose.lg.jp/docs/8440.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=42,（千歳市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,2019/9/17,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
012254,北海道滝川市,https://www.city.takikawa.lg.jp/page/1669.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=43,（滝川市 ）北海道オープンデータポータル,滝川市のオープンデータに関するページ,,,,,,,2020/10/19,2025/8/13,人口・世帯、その他、,無,CC-BY
012262,北海道砂川市,http://www.city.sunagawa.hokkaido.jp/website/webaccessibility/opendate.html,https://www.harp.lg.jp/opendata/dataset/1339.html,（砂川市 ）北海道オープンデータポータル,,http://www.city.sunagawa.hokkaido.jp/website/webaccessibility/opendate.html,砂川市オープンデータ,砂川市の情報を誰もが自由に二次利用できるよう、オープンデータの公開を始めました。当初は避難所の情報をＣＳＶ形式で掲載していますが、今後は情報を随時増やすことで、地域住民の利便性向上を図っていきます。,,,,2020/2/19,,防災,無,CC-BY
012271,北海道歌志内市,https://www.city.utashinai.hokkaido.jp/hotnews/detail/00003629.html,https://www.city.utashinai.hokkaido.jp/hotnews/detail/00003629.html,歌志内市ホームページ,歌志内市の情報発信等,,,,,,,2022/12/15,,高齢者・介護<br>健康・医療<br>防災,無,CC-BY
012289,北海道深川市,https://www.city.fukagawa.lg.jp/cms/section/soumu/gm9h2g0000001lhh.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=44,（深川市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
012297,北海道富良野市,https://www.city.furano.hokkaido.jp/life/docs/2018100400017.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=45,（富良野市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.city.furano.hokkaido.jp/life/docs/2018100400017.html,北海道オープンデータポータルサイト,北海道電子自治体共同運営協議会に参加している、北海道と道内の市町村（一部を除く）のデータの利活用環境の整備を目的としたポータルサイトです。,https://www.harp.lg.jp/opendata/,,,,2023/1/30,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
012301,北海道登別市,http://www.city.noboribetsu.lg.jp/docs/2018120400035/,https://ckan.hoda.jp/organization/noboribetsu,（登別市 ）北海道オープンデータプラットフォーム,北海道オープンデータ推進協議会が運営する北海道のオープンデータプラットフォームサイト,,,,,,,2019/6/17,2022/8/30,AED、高齢者・介護、健康・医療、文化財、スポーツ、観光情報、施設、消防、子育て、人口・世帯,無,CC-BY
012319,北海道恵庭市,http://www.city.eniwa.hokkaido.jp/soshikikarasagasu/soumubu/somuka/15024.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=47,（恵庭市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,http://www.city.eniwa.hokkaido.jp/soshikikarasagasu/soumubu/somuka/15024.html,恵庭市オープンデータについて,北海道が運営する北海道電子自治体共同運営協議会オープンデータポータルサイトに恵庭市のオープンデータを掲載しています。,,,,2022/6/14,,行財政、運輸・観光、人口・世帯、情報通信・科学技術、教育・文化・スポーツ・生活、司法・安全・環境,無,CC-BY
012335,北海道伊達市,https://www.city.date.hokkaido.jp/hotnews/detail/00007861.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=48,（伊達市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,,,,,,,2024/2/5,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
012343,北海道北広島市,https://www.city.kitahiroshima.hokkaido.jp/hotnews/detail/00149049.html,https://www.harp.lg.jp/opendata/dataset/search/?s%5Barea_id%5D=47,（北広島市 ）北海道オープンデータポータル,北海道と北海道内市町村（北海道電子自治体共同システム参加団体）が共同でデータを登録できるポータルサイト。,https://www.city.kitahiroshima.hokkaido.jp/hotnews/detail/00149049.html,北広島市オープンデータについて,市のオープンデータを登録している北海道電子自治体共同運営協議会オープンデータポータルサイトへのリンクページ,,,,2023/1/10,,人口・世帯、農林水産業、統計、防災、運輸・観光、子育て、ゴミ・環境保全、区市町村の基本情報、行政活動情報、健康・医療、教育・文化・スポーツ・生活,無,CC-BY
