source_record_id,name,name_kana,name_ko,translation_source,translation_status,municipality,address,lat,lng,disposition,classification,reason,parent_record_id,parent_name
0000007796,大宮交通公園,オオミヤコウツウコウエン,오미야교통공원,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区大宮西脇台町,35.053348,135.743392,primary,nature_or_park,name matched /公園($|[\s　（(])|庭園($|[\s　（(])|植物園|動物園|水族館|渓谷|峡谷|竹林|遊歩道|哲学の道/,,
0000003559,立命館大学国際平和ミュージアム（2021年4月1日～2023年9月までリニューアルのため休館）,リツメイカンダイガクコクサイヘイワミュージアム,리쓰메이칸대학코쿠사이헤이와뮤지엄,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区等持院北町20455,35.033659,135.727344,excluded_non_primary,closed_or_expired,name matched /休館|閉館|公開終了/,,
0000008703,梅辻家住宅,ウメツジケジュウタク,우메쓰지케주택,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区上賀茂北大路町39,35.058151,135.757217,primary,heritage_or_landmark,name matched /城|御所|離宮|旧宅|住宅|邸$|史跡|遺跡|古墳|町並み|街道|橋$|坂$|市場$|タワー|展望|映画村|劇場|能楽堂|歌舞練場|疏水|水路閣/,,
0000003561,高麗美術館,コウライビジュツカン,코라이미술관,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区紫竹上ノ岸町15,35.054360,135.750817,primary,museum_or_gallery,name matched /博物館|美術館|資料館|記念館|ミュージアム/,,
0000009494,瑞峯院,ズイホウイン,즈이호인,curated_standard_translation,reviewed,京都市北区,京都府京都市北区紫野大徳寺町81,35.042077,135.745466,primary,religious_site,religious suffix confirmed by description,,
0000001120,キャピタル東洋亭本店,キャピタルトウヨウテイホンテン,캬피타루토요테이혼텐,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区上賀茂岩ヶ垣内町44283,35.051340,135.763483,excluded_non_primary,retail_or_rental_service,name matched /レンタル|貸衣装|着付け|変身|商店|ショップ|ショッピング|土産|専門店|工房|スタジオ|手創り体験|手作り体験|京あるき|サイクル|店($|[（(])/,,
0000009495,正伝寺,ショウデンジ,쇼덴지,curated_standard_translation,reviewed,京都市北区,京都府京都市北区西賀茂北鎮守菴町72,35.062372,135.736924,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000000257,大徳寺,ダイトクジ,다이토쿠지,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区紫野大徳寺町53,35.043901,135.746032,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000008455,あぶり餅,アブリモチ,아부리모치,official_kana_transliteration,auto_needs_review,京都市北区右京区,京都府,,,excluded_non_primary,food_or_beverage,name matched /料理|食堂|レストラン|カフェ|喫茶|茶屋|料亭|割烹|菓子|菓寮|餅|豆腐|とうふ|納豆|漬物|パン|珈琲|コーヒー|ワイン|ビール|酒造|醤油|グリル|洋食|そば|うどん|寿司|鮨|焼肉|ラーメン|スイーツ|甘味|御すぐき|本舗|茶房|食文化|食事処/,,
0000001124,四季育む宿 然林房,ネンリンボウ,넨린보,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区鷹峯北鷹峯町40,35.054708,135.728711,needs_review,ambiguous_facility,no high-confidence place or exclusion rule matched,,
0000000258,今宮神社,イマミヤジンジャ,이마미야신사,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区紫野今宮町,35.046012,135.742029,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000003563,京都府立堂本印象美術館,キョウトフリツドウモトインショウビジュツカン,교토부립도모토인쇼미술관,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区平野上柳町44281,35.035151,135.726063,primary,museum_or_gallery,name matched /博物館|美術館|資料館|記念館|ミュージアム/,,
0000001122,ルルソン・キ・ボア,ルルソン・キ・ボア,루루손 키 보아,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区上賀茂豊田町,35.056837,135.765969,excluded_non_primary,commercial_business,commercial operation confirmed by description,,
0000001123,光悦茶家,コウエツヂャヤ,코에쓰지야,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区鷹峯光悦町,35.054137,135.729188,needs_review,ambiguous_facility,no high-confidence place or exclusion rule matched,,
0000000275,わら天神宮,ワラテンジングウ,와라텐신궁,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区衣笠天神森町10,35.036055,135.731627,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000000261,常照寺,ジョウショウジ,조쇼지,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区鷹峯北鷹峯町1,35.055505,135.732844,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000003290,京象嵌の館 川人象嵌・川人ハンズ,キョウゾウガンノヤカタ カワヒトゾウガン・カワヒトハンズ,교조간노야카타 카와히토조간 카와히토한즈,official_kana_transliteration,auto_needs_review,京都市北区,京都府京都市北区等持院南町76,35.026060,135.723899,excluded_non_primary,commercial_business,commercial operation confirmed by description,,
0000006757,京都の歴史を学ぶ（平安京の遺跡めぐりなど）,キョウトノレキシヲマナブ,교토노역사오마나부,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区今出川通大宮東入ル元伊佐町265-1,35.029953,135.749633,excluded_non_primary,abstract_course,name matched /を学ぶ|めぐり|コース$/,,
0000003622,高津古文化会館,コウヅコブンカカイカン,코즈코분카카이칸,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区今出川通天神筋下ル大上之町61,35.026635,135.734499,needs_review,visitor_cultural_candidate,"visitor-facing facility, but hall/center names may mix museums, shops and public services",,
0000003732,京都こども文化会館（エンゼルハウス）,キョウトコドモブンカカイカン（エンゼルハウス）,교토코도모분카카이칸(엔제루하우스),official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区一条通七本松西入ル,35.027004,135.738299,excluded_non_primary,administrative_or_sports_facility,name matched /体育館|運動場|競技場|武道センター|運動施設|府民ホール|運動公園|文化芸術会館|こども文化会館|国際交流会館|国際センター|コンベンション|会議場/,,
0000000074,千本釈迦堂（大報恩寺）,センボンシャカドウ（ダイホウオンジ）,센본샤카도(다이호온지),official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区今出川七本松上ル溝前町,35.031604,135.739812,primary,religious_site,name matched /寺|神社|神宮|天満宮|大社|地蔵|不動|観音|霊廟|墓所/,,
0000004053,くるっとパーク御所東,クルットパークゴショヒガシ,쿠루토파쿠고쇼히가시,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区寺町通丸太町上ル松蔭町135-1,35.018790,135.767265,excluded_non_primary,parking,name matched /駐車場|パーキング|くるっとパーク/,,
0000003263,京とうふ藤野,キョウトウフフジノ,교토후후지노,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区今小路通御前西入紙屋川町843-7,35.027672,135.734547,excluded_non_primary,food_or_beverage,name matched /料理|食堂|レストラン|カフェ|喫茶|茶屋|料亭|割烹|菓子|菓寮|餅|豆腐|とうふ|納豆|漬物|パン|珈琲|コーヒー|ワイン|ビール|酒造|醤油|グリル|洋食|そば|うどん|寿司|鮨|焼肉|ラーメン|スイーツ|甘味|御すぐき|本舗|茶房|食文化|食事処/,,
0000009192,京やのお昼・甘味処 ShiじMa,キョウヤノオヒル・カンミドコロ シジマ,교야노오히루 칸미도코로 시지마,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区油小路一条下る油橋詰町,35.025918,135.753878,excluded_non_primary,food_or_beverage,name matched /料理|食堂|レストラン|カフェ|喫茶|茶屋|料亭|割烹|菓子|菓寮|餅|豆腐|とうふ|納豆|漬物|パン|珈琲|コーヒー|ワイン|ビール|酒造|醤油|グリル|洋食|そば|うどん|寿司|鮨|焼肉|ラーメン|スイーツ|甘味|御すぐき|本舗|茶房|食文化|食事処/,,
0000003262,菓遊茶屋,カユウヂャヤ,카유우지야,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区今出川通堀川西入ル（鶴屋吉信2階）,35.029955,135.751442,excluded_non_primary,food_or_beverage,name matched /料理|食堂|レストラン|カフェ|喫茶|茶屋|料亭|割烹|菓子|菓寮|餅|豆腐|とうふ|納豆|漬物|パン|珈琲|コーヒー|ワイン|ビール|酒造|醤油|グリル|洋食|そば|うどん|寿司|鮨|焼肉|ラーメン|スイーツ|甘味|御すぐき|本舗|茶房|食文化|食事処/,,
0000007716,弓月京店,ユヅキキョウミセ,유즈키교미세,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区上七軒701,35.030535,135.737400,excluded_non_primary,retail_or_rental_service,name matched /レンタル|貸衣装|着付け|変身|商店|ショップ|ショッピング|土産|専門店|工房|スタジオ|手創り体験|手作り体験|京あるき|サイクル|店($|[（(])/,,
0000003261,近為,キンタメ,킨타메,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区千本通五辻上ル牡丹鉾町576,35.031269,135.741916,excluded_non_primary,commercial_business,commercial operation confirmed by description,,
0000006435,ホテルルビノ京都堀川,ホテルルビノキョウトホリカワ,호테루루비노교토호리카와,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区東堀川通下長者町下ル,35.021861,135.752421,excluded_non_primary,lodging_or_bathing,name matched /ホテル|旅館|民宿|ペンション|ロッジ|ゲストハウス|(^|[\s　])宿([\s　]|$)|小宿|お宿|宿泊所|青少年村|キャンプ場|温泉|足湯|スパ|spa|銭湯/,,
0000003260,萬亀楼,マンカメロウ,만카메로,official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区猪熊通出水上ル蛭子町387,35.022142,135.750433,excluded_non_primary,commercial_business,commercial operation confirmed by description,,
0000003731,京都府立府民ホール（アルティ）,キョウトフリツフミンホール（アルティ）,교토부립후민호루(아루티),official_kana_transliteration,auto_needs_review,京都市上京区,京都府京都市上京区烏丸通一条下ル龍前町590-1,35.025444,135.758729,excluded_non_primary,administrative_or_sports_facility,name matched /体育館|運動場|競技場|武道センター|運動施設|府民ホール|運動公園|文化芸術会館|こども文化会館|国際交流会館|国際センター|コンベンション|会議場/,,
