都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,対象者別,カテゴリー,,追加URL,公開URLより,開始日,終了日,参加申込終了日
341002,2547,広島県,広島市,【サイエンスワークショップ】「フェルトボール」（江波山気象館）　　,,,2025/2/22,2025/2/22,(1)11時00分～　(2)14時00分～,,,"羊毛をせっけん水で丸めてふわふわのボールを作ります。
対象：どなたでも
材料費：70円
定員：各回先着12人
申込：1月25日(土)から江波山気象館のホームページで受付",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/46/410470.html,,どなたでも,イベント、子ども、文化・芸術,,https://www.city.hiroshima.lg.jp,/soshiki/46/410470.html,2025/2/22,2025/2/22,
341002,2549,広島県,広島市,【企画展】「ボールでチャレンジ！科学あそび広場」（江波山気象館）,,,2025/1/25,2025/3/16,(1)9時00分～12時00分～　(2)13時00分～17時00分,,,"転がる・弾むなどボールを使った科学あそびにチャレンジします。
対象：どなたでも",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区江波山1-40-1　江波山気象館,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/410468.html,,どなたでも,イベント、子ども、文化・芸術,,https://www.city.hiroshima.lg.jp,/soshiki/46/410468.html,2025/1/25,2025/3/16,
341002,2595,広島県,広島市,[ 少年非行対策セミナー]少年非行問題に関するセミナーを開催します,,,2025/2/22,2025/2/22,令和7年2月22日（土曜日）10時～11時30分,,,"少年の非行問題などに関心のある方を対象に、少年非行対策セミナーを開催します！
児童相談所の立場から、少年非行の実態や背景にある問題を提起していただき、今後、社会全体でどのように取り組んでいくべきか、講演いただきます。
お気軽に申し込みください！",無料,,こども未来局 こども青少年支援部,,,,JMSアステールプラザ　中ホール,,,,,,,,2025/2/21,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/84/410329.html,,どなたでも,子ども、講演・講座・セミナー、その他,,https://www.city.hiroshima.lg.jp,/soshiki/84/410329.html,2025/2/22,2025/2/22,2025/2/21
341002,3018,広島県,広島市,令和8年広島市二十歳を祝うつどいの開催予定について,,,2026/1/12,2026/1/12,,,,,無料,,こども未来局 こども青少年支援部,,,,,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/84/376913.html,,,,,https://www.city.hiroshima.lg.jp,/soshiki/84/376913.html,2026/1/12,2026/1/12,
341002,3892,広島県,広島市,企画展「実は広島3―日用品編―」（広島市郷土資料館）,,,2024/12/7,2025/2/24,9時00分～17時00分（入館は16時30分まで）,,,"全国的に広く知られている企業や製品の中には、広島発祥であったり、広島が大きなシェアを持っているなど、案外知られていないケースがあり、本展では日用品の事例を紹介します。

※展示期間中の日曜日14時から展示ガイドを行います。",有料,,市民局 文化スポーツ部 文化振興課,,,,広島市南区宇品御幸二丁目6-20　広島市郷土資料館　2階企画展示室,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/405690.html,,どなたでも,イベント、子ども、文化・芸術,,https://www.city.hiroshima.lg.jp,/soshiki/46/405690.html,2024/12/7,2025/2/24,
341002,4008,広島県,広島市,「第34回市民文芸」に掲載する作品を募集しています,,,2024/11/5,2025/2/28,募集期間＝2024年11月1日(金)から2025年2月28日(金),,,"市民の皆さんの創意あふれる文芸作品を募集します。
優秀作品は、2025年12月発行予定の市民文芸作品集「文芸ひろしま」第34号に掲載します。
応募先＝広島市文化財団「市民文芸作品募集」係まで。

詳しくは、広島市文化財団のHPでご確認ください。",無料,,市民局 文化スポーツ部 文化振興課,,,,,,,,,,,,2025/2/28,,必要（期間あり）,https://www.city.hiroshima.lg.jp/soshiki/46/309328.html,,,,,https://www.city.hiroshima.lg.jp,/soshiki/46/309328.html,2024/11/5,2025/2/28,2025/2/28
341002,4127,広島県,広島市,【企画展】「広島城下のくらし拝見」（広島城）,,,2024/12/14,2025/4/20,9時00分～17時00分（入館は16時30分まで）,,,"江戸時代、広島城下は西日本有数の規模を誇っていましたが、城下の人々の暮らしぶりについてはあまり知られていません。本企画展では絵図・絵画・出土品などからその様子を紹介します。

期間中、学芸員による展示ガイドあり。
日曜日の(1)11時00分～(2)14時00分～（約15分）",無料,,市民局 文化スポーツ部 文化振興課,,,,広島市中区基町21-1　広島城天守閣第四層企画展示室,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/soshiki/46/404608.html,,どなたでも,イベント、文化・芸術,,https://www.city.hiroshima.lg.jp,/soshiki/46/404608.html,2024/12/14,2025/4/20,
341002,4474,広島県,広島市,成人歯科相談日,,,2025/3/12,2025/3/12,"令和6年6月26日（水曜日）　13時～15時
令和6年9月18日（水曜日）　13時～15時
令和7年3月12日（水曜日）　13時～15時",,,20歳以上の方を対象とし、歯科健診やブラッシング指導を行う。,無料,,安佐南区役所 厚生部 地域支えあい課,,,,安佐南区総合福祉センター,,,,,,,,,,必要（随時）,https://www.city.hiroshima.lg.jp/soshiki/352/287696.html,,一般、シニア,イベント、健康・保健,,https://www.city.hiroshima.lg.jp,/soshiki/352/287696.html,2025/3/12,2025/3/12,
341002,8669,広島県,広島市,佐伯区食育講座（0歳児の保護者向け）,,,2025/2/27,2025/2/27,10時から11時30分,,,大人の食事の調理実演・試食、取り分け離乳食レシピの紹介,有料,,佐伯区役所 厚生部 地域支えあい課,,,,佐伯区役所別館,,,,,,,,2025/2/26,,必要（期間あり）,https://www.city.hiroshima.lg.jp/site/saekiku/385973.html,,妊娠中・親子,イベント、子ども、講演・講座・セミナー、健康・保健,,https://www.city.hiroshima.lg.jp,/site/saekiku/385973.html,2025/2/27,2025/2/27,2025/2/26
341002,7,広島県,広島市,カメルーン関係者と似島小・中学生とのバウムクーヘン交流会を開催します,,,2025/2/21,2025/2/21,,,,,無料,,企画総務局 地域活性化調整部 地域活性推進課,,,,,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/houdou/houdou/418283.html,,小・中学生,子ども、平和,,https://www.city.hiroshima.lg.jp,/houdou/houdou/418283.html,2025/2/21,2025/2/21,
341002,18,広島県,広島市,3月4日は「バウムクーヘンの日」～大切なあの人に贈る、とっておきのバウムクーヘン～　イベントを開催します,,,2025/2/22,2025/2/22,令和6年11月30日（土曜日）～12月1日（日曜日）午前11時～午後5時,,,3月4日「バウムクーヘンの日」を大切な人にバウムクーヘンを贈る日と位置付け、日本におけるバウムクーヘンの発祥の地である広島から世界への贈り物として、大切な人と分かち合う平和な時間を過ごす文化を世界中に広めていくための取組の第一弾として、広島バウムクーヘン振興協議会との共催により、小学生（1～6年生）及びその保護者を対象としたイベントを実施します！,無料,,企画総務局 地域活性化調整部 地域活性推進課,,,,紙屋町シャレオ西通り「紙屋町スウィング」,,,,,,,,,,不要,https://www.city.hiroshima.lg.jp/houdou/houdou/417281.html,,どなたでも,イベント、平和,,https://www.city.hiroshima.lg.jp,/houdou/houdou/417281.html,2025/2/22,2025/2/22,
341002,89,広島県,広島市,男女共同参画セミナーの開催,,,2025/2/22,2025/2/22,13時30分～16時,,,"第1部　講演
・テーマ：セクシュアル・マイノリティの選択～家族の現状
・講　師：広島修道大学人文学部教授　河口　和也氏
第2部　対談
・同性のカップルを迎え、講師の河口さんとお二人の家族の選択について対談します。　　",無料,,市民局 人権啓発部 男女共同参画課,,,,ＪＭＳアステールプラザ4階　大会議室Ａ・Ｂ,,,,,,,,2025/2/22,,必要（期間あり）,https://www.city.hiroshima.lg.jp/houdou/houdou/201809.html,,どなたでも,講演・講座・セミナー,,https://www.city.hiroshima.lg.jp,/houdou/houdou/201809.html,2025/2/22,2025/2/22,2025/2/22
